Date,oil_lat,oil_lon,num_ships_near_point,closest_ship_distance_km,avg_ship_speed,Towing,Dredging_or_underwater_ops,Other_Special_category,Cargo,Pleasure_craft_yachts,Passenger,Tug,Tanker,Fishing,Search_and_rescue_vessel,Cargo_hazardous_A,Unknown_0,Cargo_hazardous_B,Sailing,Cargo_unspecified,Port_tender,Unknown_38,Law_enforcement_vessel,High_speed_craft_HSC,Cargo_hazardous_C,Spare_local_use,Unknown_12,Military_operations,Tanker_hazardous_types_A_to_D,Anti_pollution_equipment,Tanker_hazardous_types_A_to_D.1,Pilot_vessel,Cargo_hazardous_D,Unknown_66,Tanker_unspecified,Undefined_Unknown,Wing_in_ground_WIG_hovercraft_hydrofoils,Unknown_87,Tanker_hazardous_types_A_to_D.2,Unknown_94,Unknown_95,Unknown_49,Towing_length_gt_200m_or_width_gt_25m,Passenger_hazardous_cargo,Unknown_255,Tanker_hazardous_types_A_to_D.3,Unknown_77,Unknown_96,Unknown_2,Unknown_18,Noncombatant_ship_military_support,Unknown_97,Unknown_10,Unknown_39
2020-01-14,39.39199763548393,-76.21323492350629,8,6.047372945730335,8.02608695652174,39.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,37.95935169625495,-75.94619901488262,1,1.1184493705250458,7.836666666666668,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,37.71258471480023,-75.77961592134223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,38.18102449592077,-76.354758736145,1,3.0454612145276188,7.074999999999999,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,37.86514845478911,-75.41423473678624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,38.73392230176207,-76.24842717678327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,39.38555439127583,-76.04693847405206,11,0.6856371250425487,6.92271762208068,270.0,,85.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,38.09823983370037,-75.31005489957126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,37.91178868352463,-75.40746553928166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,37.93494008897799,-76.26374325371324,5,1.875563445068917,8.204819277108435,64.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,38.41584522565482,-76.59718250472905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,39.472392966361205,-76.88276342017048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,37.07854447316908,-76.33926388459538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,38.405178497515976,-75.15427952171069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,37.71258471480023,-75.77961592134223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,38.18102449592077,-76.354758736145,2,6.92662904163833,7.199999999999999,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,39.38696392935898,-76.22444844690204,14,6.065674275727536,7.217708333333334,80.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,38.09823983370037,-75.31005489957126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,38.41584522565482,-76.59718250472905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.07854447316908,-76.33926388459538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.32722945812118,-76.8763935436474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,39.15744350954389,-76.0593068740037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,39.03327481911461,-76.18847968650985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,38.44010665176987,-76.15474780086846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.63261430195355,-76.51771839296354,1,0.2932108045376725,6.6869565217391305,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,39.39199763548393,-76.21323492350629,14,5.848036518121658,8.498290598290598,98.0,14.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.2940855341036,-77.19527021296507,5,1.8603146178838648,5.9308411214953285,56.0,,,25.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,38.18102449592077,-76.354758736145,1,6.561676335016261,7.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,38.73392230176207,-76.24842717678327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.5492397986249,-75.86663133426741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.8070165520791,-76.72082444657929,1,0.8098267774965384,6.495652173913043,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.66804204662815,-76.5763059713333,1,1.8904569481015108,6.6640625,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.93494008897799,-76.26374325371324,3,1.4978785205244285,6.665306122448979,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,39.38341433265008,-76.39936747439695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,37.96635992232168,-76.853978656433,1,4.522433310455742,3.462264150943396,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,39.472392966361205,-76.88276342017048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,39.68334252710496,-76.19965432641052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,39.213784979182094,-77.01680242865474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,39.15744350954389,-76.0593068740037,1,5.389146502147549,0.0222222222222222,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,39.03327481911461,-76.18847968650985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,39.39199763548393,-76.21323492350629,13,5.927469429025641,7.0870000000000015,62.0,,31.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,37.71258471480023,-75.77961592134223,1,0.490698415097588,14.230769230769228,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,38.73392230176207,-76.24842717678327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
